component,pipeline,accuracy,precision,recall,f1,n_eval,tp,fp,fn,candidate_pairs,predicted_matches,gold_positive_pairs,n_eval_values,correct_values,all_possible_cross_source_pairs,reduction_ratio,total_llm_calls,schema_alignment_calls,record_linkage_calls,data_fusion_calls
schema_alignment,baseline,0.4,1.0,0.4,0.5714285714285715,15.0,6.0,0.0,9.0,,,,,,,,,,,
schema_alignment,llm_assisted,1.0,1.0,1.0,1.0,15.0,15.0,0.0,0.0,,,,,,,,,,,
record_linkage,baseline,,0.30460067200827085,0.6547222222222222,0.415769977068266,,2357.0,5381.0,1243.0,33855.0,7738.0,3600.0,,,,,,,,
record_linkage,llm_assisted,,0.31755002291125706,0.5775,0.4097762885581946,,2079.0,4468.0,1521.0,33855.0,6547.0,3600.0,,,,,,,,
data_fusion,baseline,0.20029455081001474,,,,,,,,,,,679.0,136.0,,,,,,
data_fusion,llm_assisted,0.23903966597077245,,,,,,,,,,,958.0,229.0,,,,,,
blocking,baseline,,,,,,,,,33855.0,,,,,1080000.0,0.9686527777777778,,,,
blocking,llm_assisted,,,,,,,,,33855.0,,,,,1080000.0,0.9686527777777778,,,,
llm_usage,llm_assisted,,,,,,,,,,,,,,,,353.0,3.0,300.0,50.0
